member_id,name,party,state,district,vote_position,dw_nominate
A000374,Ralph Abraham,R,LA,5,Yes,0.51
A000370,Alma Adams,D,NC,12,No,-0.469
A000055,Robert B. Aderholt,R,AL,4,Yes,0.362
A000371,Pete Aguilar,D,CA,31,No,-0.285
A000372,Rick Allen,R,GA,12,Yes,0.623
A000376,Colin Allred,D,TX,32,No,NA
A000367,Justin Amash,R,MI,3,No,0.642
A000369,Mark Amodei,R,NV,2,Yes,0.377
A000377,Kelly Armstrong,R,ND,1,Yes,NA
A000375,Jodey Arrington,R,TX,19,Yes,0.549
A000378,Cynthia Axne,D,IA,3,Yes,NA
B001291,Brian Babin,R,TX,36,Yes,0.706
B001298,Don Bacon,R,NE,2,Yes,0.43
B001307,James Baird,R,IN,4,Yes,NA
B001306,Troy Balderson,R,OH,12,Yes,NA
B001299,Jim Banks,R,IN,3,Yes,0.642
B001282,Andy Barr,R,KY,6,Yes,0.488
B001300,Nanette BarragÃ¡n,D,CA,44,No,-0.508
B001270,Karen Bass,D,CA,37,No,-0.587
B001281,Joyce Beatty,D,OH,3,No,-0.428
B001287,Ami Bera,D,CA,7,No,-0.228
B001301,Jack Bergman,R,MI,1,Yes,0.438
B001292,Donald Beyer,D,VA,8,No,-0.387
B001302,Andy Biggs,R,AZ,5,Yes,0.904
B001257,Gus Bilirakis,R,FL,12,Yes,0.404
B000490,Sanford D. Bishop Jr.,D,GA,2,No,-0.281
B001250,Rob Bishop,R,UT,1,Yes,0.529
B000574,Earl Blumenauer,D,OR,3,No,-0.427
B001303,Lisa Blunt Rochester,D,DE,1,No,-0.324
B001278,Suzanne Bonamici,D,OR,1,No,-0.392
B001295,Mike Bost,R,IL,12,Yes,0.263
B001296,Brendan Boyle,D,PA,2,No,-0.397
B000755,Kevin Brady,R,TX,8,Yes,0.518
B001308,Anthony Brindisi,D,NY,22,Yes,NA
B001274,Mo Brooks,R,AL,5,Yes,0.606
B001284,Susan Brooks,R,IN,5,Yes,0.374
B001304,Anthony Brown,D,MD,4,No,-0.343
B001285,Julia Brownley,D,CA,26,No,-0.284
B001260,Vern Buchanan,R,FL,16,Yes,0.359
B001297,Ken Buck,R,CO,4,Yes,0.755
B001275,Larry Bucshon,R,IN,8,Yes,0.391
B001305,Ted Budd,R,NC,13,Yes,0.695
B001309,Tim Burchett,R,TN,2,Yes,NA
B001248,Michael C. Burgess,R,TX,26,Yes,0.57
B001286,Cheri Bustos,D,IL,17,No,-0.235
B001251,G. K. Butterfield,D,NC,1,No,-0.403
B001289,Bradley Byrne,R,AL,1,Yes,0.544
C000059,Ken Calvert,R,CA,42,Yes,0.349
C001112,Salud Carbajal,D,CA,24,No,-0.296
C001097,Tony CÃ¡rdenas,D,CA,29,No,-0.38
C001072,AndrÃ© Carson,D,IN,7,No,-0.429
C001103,Buddy Carter,R,GA,1,Yes,0.57
C001051,John Carter,R,TX,31,Yes,0.466
C001090,Matt Cartwright,D,PA,8,No,-0.371
C001055,Ed Case,D,HI,1,No,-0.204
C001117,Sean Casten,D,IL,6,No,NA
C001066,Kathy Castor,D,FL,14,No,-0.439
C001091,JoaquÃ­n Castro,D,TX,20,No,-0.395
C000266,Steven J. Chabot,R,OH,1,Yes,0.584
C001109,Liz Cheney,R,WY,1,Yes,0.515
C001080,Judy Chu,D,CA,27,No,-0.488
C001084,David Cicilline,D,RI,1,No,-0.389
C001123,Gilbert Cisneros,D,CA,39,No,NA
C001101,Katherine Clark,D,MA,5,No,-0.49
C001067,Yvette D. Clarke,D,NY,9,No,-0.616
C001049,William Lacy Clay,D,MO,1,No,-0.48
C001061,Emanuel Cleaver II,D,MO,5,No,-0.453
